#SampleID	habitat_depth_level2	anat_hab	sample_type	anatomical_location	spatial_region	anat_space_combine	habitat_depth_level3
13414.94.midg.R1.fastq.gz	neritic	neritic_midgut	midgut	internal	coastal	coastal/internal	neritic
13414.94.s.R1.fastq.gz	neritic	neritic_skin	skin	external	coastal	coastal/external	neritic
13414.95.g.R1.fastq.gz	intertidal	intertidal_gill	gill	external	coastal	coastal/external	intertidal
13414.95.hg.R1.fastq.gz	intertidal	intertidal_hindgut	hindgut	internal	coastal	coastal/internal	intertidal
13414.95.midg.R1.fastq.gz	intertidal	intertidal_midgut	midgut	internal	coastal	coastal/internal	intertidal
13414.95.s.R1.fastq.gz	intertidal	intertidal_skin	skin	external	coastal	coastal/external	intertidal
13414.96.g.R1.fastq.gz	intertidal	intertidal_gill	gill	external	coastal	coastal/external	intertidal
13414.96.hg.R1.fastq.gz	intertidal	intertidal_hindgut	hindgut	internal	coastal	coastal/internal	intertidal
13414.96.midg.R1.fastq.gz	intertidal	intertidal_midgut	midgut	internal	coastal	coastal/internal	intertidal
13414.96.s.R1.fastq.gz	intertidal	intertidal_skin	skin	external	coastal	coastal/external	intertidal
13414.97.g.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.97.hg.R1.fastq.gz	neritic	neritic_hindgut	hindgut	internal	coastal	coastal/internal	neritic
13414.97.midg.R1.fastq.gz	neritic	neritic_midgut	midgut	internal	coastal	coastal/internal	neritic
13414.97.s.R1.fastq.gz	neritic	neritic_skin	skin	external	coastal	coastal/external	neritic
13414.98.g.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.98.hg.R1.fastq.gz	neritic	neritic_hindgut	hindgut	internal	coastal	coastal/internal	neritic
13414.98.midg.R1.fastq.gz	neritic	neritic_midgut	midgut	internal	coastal	coastal/internal	neritic
13414.98.s.R1.fastq.gz	neritic	neritic_skin	skin	external	coastal	coastal/external	neritic
13414.99.g.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.99.hg.R1.fastq.gz	neritic	neritic_hindgut	hindgut	internal	coastal	coastal/internal	neritic
13414.99.midg.R1.fastq.gz	neritic	neritic_midgut	midgut	internal	coastal	coastal/internal	neritic
13414.99.s.R1.fastq.gz	neritic	neritic_skin	skin	external	coastal	coastal/external	neritic
13414.A1.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.A10.gill.R1.fastq.gz	intertidal	intertidal_gill	gill	external	coastal	coastal/external	intertidal
13414.A11.gill.R1.fastq.gz	intertidal	intertidal_gill	gill	external	coastal	coastal/external	intertidal
13414.A12.gill.R1.fastq.gz	mesopelagic	meso_benthopelagic_gill	gill	external	open ocean	open ocean/external	meso_benthopelagic
13414.A13.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.A14.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.A18.gill.R1.fastq.gz	intertidal	intertidal_gill	gill	external	coastal	coastal/external	intertidal
13414.A2.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.A20.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.A21.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.A22.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.A23.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.A3.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.A4.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.A5.gill.R1.fastq.gz	intertidal	intertidal_gill	gill	external	coastal	coastal/external	intertidal
13414.A8.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.A9.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
