#SampleID	habitat_depth_level2	anat_hab	sample_type	anatomical_location	spatial_region	anat_space_combine	habitat_depth_level3
13414.63.midgut.R1.fastq.gz	mesopelagic and benthopelagic	meso_benthopelagic_midgut	midgut	internal	open ocean	open ocean/internal	meso_benthopelagic
13414.63.skin.R1.fastq.gz	mesopelagic and benthopelagic	meso_benthopelagic_skin	skin	external	open ocean	open ocean/external	meso_benthopelagic
13414.64.gill.R1.fastq.gz	mesopelagic	meso_benthopelagic_gill	gill	external	open ocean	open ocean/external	meso_benthopelagic
13414.64.hg.R1.fastq.gz	mesopelagic	meso_benthopelagic_hindgut	hindgut	internal	open ocean	open ocean/internal	meso_benthopelagic
13414.64.midgut.R1.fastq.gz	mesopelagic	meso_benthopelagic_midgut	midgut	internal	open ocean	open ocean/internal	meso_benthopelagic
13414.64.skin.R1.fastq.gz	mesopelagic	meso_benthopelagic_skin	skin	external	open ocean	open ocean/external	meso_benthopelagic
13414.65.gill.R1.fastq.gz	bathypelagic	bathypelagic_gill	gill	external	open ocean	open ocean/external	bathypelagic
13414.65.hg.R1.fastq.gz	bathypelagic	bathypelagic_hindgut	hindgut	internal	open ocean	open ocean/internal	bathypelagic
13414.65.midgut.R1.fastq.gz	bathypelagic	bathypelagic_midgut	midgut	internal	open ocean	open ocean/internal	bathypelagic
13414.65.skin.R1.fastq.gz	bathypelagic	bathypelagic_skin	skin	external	open ocean	open ocean/external	bathypelagic
13414.66.gill.R1.fastq.gz	mesopelagic and benthopelagic	meso_benthopelagic_gill	gill	external	open ocean	open ocean/external	meso_benthopelagic
13414.66.hg.R1.fastq.gz	mesopelagic and benthopelagic	meso_benthopelagic_hindgut	hindgut	internal	open ocean	open ocean/internal	meso_benthopelagic
13414.66.midgut.R1.fastq.gz	mesopelagic and benthopelagic	meso_benthopelagic_midgut	midgut	internal	open ocean	open ocean/internal	meso_benthopelagic
13414.66.skin.R1.fastq.gz	mesopelagic and benthopelagic	meso_benthopelagic_skin	skin	external	open ocean	open ocean/external	meso_benthopelagic
13414.67.gill.R1.fastq.gz	intertidal	intertidal_gill	gill	external	coastal	coastal/external	intertidal
13414.67.hg.R1.fastq.gz	intertidal	intertidal_hindgut	hindgut	internal	coastal	coastal/internal	intertidal
13414.67.midgut.R1.fastq.gz	intertidal	intertidal_midgut	midgut	internal	coastal	coastal/internal	intertidal
13414.67.skin.R1.fastq.gz	intertidal	intertidal_skin	skin	external	coastal	coastal/external	intertidal
